Table with row headers in column A and column headers in rows 5 through 6.,,,,,,,,,,,,,,,,,,,,,,,
"Table 3. Detailed Years of School Completed by People 25 Years and Over by Sex, Age Groups, Race and Hispanic Origin: 2020",,,,,,,,,,,,,,,,,,,,,,,
(Numbers in thousands. Civilian noninstitutionalized population.1),,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Detailed years of school,All races,,Males,,Females,,25 to 34 years old,,35 to 54 years old,,55 years and older,,White,,Non-Hispanic White,,Black,,Asian,,"Hispanic 
(of any race)",,
,Number,Percent,Number,Percent,Number,Percent,Number,Percent,Number,Percent,Number,Percent,Number,Percent,Number,Percent,Number,Percent,Number,Percent,Number,Percent,
Total,"223,058",100.0,"107,517",100.0,"115,540",100.0,"45,260",100.0,"80,999",100.0,"96,798",100.0,"174,282",100.0,"142,871",100.0,"27,822",100.0,"14,235",100.0,"35,206",100.0,
,,,,,,,,,,,,,,,,,,,,,,,
"Elementary or High school, no diploma",,,,,,,,,,,,,,,,,,,,,,,
"Less than 1 year, no diploma",725,0.3,351,0.3,374,0.3,83,0.2,258,0.3,384,0.4,490,0.3,148,0.1,83,0.3,135,0.9,376,1.1,
"1st-4th grade, no diploma","1,381",0.6,702,0.7,680,0.6,85,0.2,427,0.5,869,0.9,"1,096",0.6,140,0.1,108,0.4,115,0.8,"1,031",2.9,
"5th-6th grade, no diploma","2,844",1.3,"1,389",1.3,"1,455",1.3,238,0.5,"1,106",1.4,"1,501",1.6,"2,352",1.3,268,0.2,215,0.8,162,1.1,"2,241",6.4,
"7th-8th grade, no diploma","2,944",1.3,"1,464",1.4,"1,480",1.3,319,0.7,"1,027",1.3,"1,598",1.7,"2,252",1.3,"1,100",0.8,363,1.3,213,1.5,"1,285",3.7,
"9th grade, no diploma","2,805",1.3,"1,393",1.3,"1,411",1.2,359,0.8,"1,171",1.4,"1,275",1.3,"2,217",1.3,944,0.7,337,1.2,141,1.0,"1,365",3.9,
"10th grade, no diploma","3,140",1.4,"1,584",1.5,"1,556",1.3,421,0.9,"1,047",1.3,"1,672",1.7,"2,335",1.3,"1,559",1.1,502,1.8,178,1.2,874,2.5,
"11th grade, no diploma","3,625",1.6,"1,862",1.7,"1,763",1.5,558,1.2,"1,245",1.5,"1,822",1.9,"2,567",1.5,"1,737",1.2,821,3.0,81,0.6,921,2.6,
"12th grade, no diploma","2,744",1.2,"1,411",1.3,"1,332",1.2,631,1.4,902,1.1,"1,212",1.3,"1,933",1.1,"1,090",0.8,524,1.9,172,1.2,951,2.7,
,,,,,,,,,,,,,,,,,,,,,,,
"Elementary or High school, GED",,,,,,,,,,,,,,,,,,,,,,,
"Less than 1 year, GED",25,-,13,-,12,-,8,-,11,-,6,-,17,-,8,-,3,-,.,.,11,-,
"1st-4th grade, GED",120,0.1,74,0.1,47,-,36,0.1,40,-,44,-,85,-,52,-,24,0.1,4,-,33,0.1,
"5th-6th grade, GED",50,-,25,-,24,-,7,-,23,-,20,-,31,-,23,-,10,-,3,-,10,-,
"7th-8th grade, GED",242,0.1,134,0.1,108,0.1,30,0.1,58,0.1,154,0.2,212,0.1,171,0.1,20,0.1,5,-,50,0.1,
"9th grade, GED",610,0.3,293,0.3,316,0.3,106,0.2,205,0.3,298,0.3,497,0.3,408,0.3,92,0.3,3,-,108,0.3,
"10th grade, GED","1,258",0.6,658,0.6,600,0.5,266,0.6,392,0.5,601,0.6,"1,037",0.6,877,0.6,136,0.5,15,0.1,181,0.5,
"11th grade, GED","1,746",0.8,960,0.9,786,0.7,303,0.7,693,0.9,750,0.8,"1,391",0.8,"1,138",0.8,255,0.9,10,0.1,284,0.8,
"12th grade, GED","1,525",0.7,941,0.9,584,0.5,381,0.8,608,0.8,537,0.6,"1,181",0.7,817,0.6,231,0.8,50,0.4,405,1.2,
,,,,,,,,,,,,,,,,,,,,,,,
High school diploma,"56,022",25.1,"28,257",26.3,"27,765",24.0,"10,661",23.6,"18,232",22.5,"27,129",28.0,"43,575",25.0,"34,682",24.3,"8,474",30.5,"2,251",15.8,"9,902",28.1,
,,,,,,,,,,,,,,,,,,,,,,,
"College, no degree",,,,,,,,,,,,,,,,,,,,,,,
"Less than 1 year college, no degree","4,512",2.0,"2,119",2.0,"2,393",2.1,978,2.2,"1,459",1.8,"2,075",2.1,"3,585",2.1,"3,031",2.1,683,2.5,105,0.7,604,1.7,
"One year of college, no degree","10,706",4.8,"4,973",4.6,"5,733",5.0,"2,332",5.2,"3,436",4.2,"4,938",5.1,"8,487",4.9,"7,237",5.1,"1,510",5.4,267,1.9,"1,437",4.1,
"Two years of college, no degree","13,894",6.2,"6,624",6.2,"7,270",6.3,"2,755",6.1,"4,740",5.9,"6,399",6.6,"10,742",6.2,"9,093",6.4,"2,179",7.8,451,3.2,"1,915",5.4,
"Three years of college, no degree","3,390",1.5,"1,724",1.6,"1,665",1.4,844,1.9,"1,241",1.5,"1,305",1.3,"2,574",1.5,"2,156",1.5,507,1.8,169,1.2,486,1.4,
"Four or more years of college, no degree","1,485",0.7,799,0.7,686,0.6,391,0.9,545,0.7,549,0.6,"1,151",0.7,908,0.6,160,0.6,99,0.7,283,0.8,
,,,,,,,,,,,,,,,,,,,,,,,
"Associate's degree, vocational",,,,,,,,,,,,,,,,,,,,,,,
"Less than 1 year college, vocational/associate's",496,0.2,232,0.2,265,0.2,111,0.2,195,0.2,190,0.2,409,0.2,334,0.2,51,0.2,26,0.2,83,0.2,
"One year of college, vocational/associate's","1,428",0.6,675,0.6,753,0.7,308,0.7,511,0.6,608,0.6,"1,189",0.7,974,0.7,151,0.5,42,0.3,231,0.7,
"Two years of college, vocational/associate's","6,234",2.8,"2,877",2.7,"3,357",2.9,"1,138",2.5,"2,333",2.9,"2,762",2.9,"5,133",2.9,"4,440",3.1,765,2.7,181,1.3,767,2.2,
"Three years of college, vocational/associate's",861,0.4,396,0.4,465,0.4,209,0.5,329,0.4,323,0.3,668,0.4,576,0.4,115,0.4,53,0.4,106,0.3,
"Four or more years of college, vocational/associate's",858,0.4,457,0.4,401,0.3,185,0.4,368,0.5,305,0.3,673,0.4,558,0.4,107,0.4,35,0.2,129,0.4,
,,,,,,,,,,,,,,,,,,,,,,,
"Associate's degree, academic",,,,,,,,,,,,,,,,,,,,,,,
"Less than 1 year college, academic/associate's",137,0.1,47,-,91,0.1,15,-,35,-,87,0.1,101,0.1,84,0.1,26,0.1,9,0.1,16,-,
"One year of college, academic/associate's",722,0.3,300,0.3,422,0.4,155,0.3,257,0.3,310,0.3,561,0.3,436,0.3,98,0.4,38,0.3,131,0.4,
"Two years of college, academic/associate's","9,453",4.2,"3,908",3.6,"5,545",4.8,"1,903",4.2,"3,547",4.4,"4,004",4.1,"7,629",4.4,"6,588",4.6,"1,145",4.1,385,2.7,"1,163",3.3,
"Three years of college, academic/associate's","1,697",0.8,747,0.7,949,0.8,407,0.9,619,0.8,670,0.7,"1,349",0.8,"1,113",0.8,206,0.7,61,0.4,249,0.7,
"Four or more years of college, academic/associate's","1,680",0.8,702,0.7,978,0.8,446,1.0,686,0.8,548,0.6,"1,355",0.8,"1,143",0.8,176,0.6,77,0.5,242,0.7,
,,,,,,,,,,,,,,,,,,,,,,,
Bachelor's degree,"52,164",23.4,"24,621",22.9,"27,542",23.8,"13,166",29.1,"20,092",24.8,"18,906",19.5,"41,008",23.5,"36,595",25.6,"4,997",18.0,"4,875",34.2,"5,065",14.4,
Master's degree2,"23,516",10.5,"10,223",9.5,"13,293",11.5,"4,228",9.3,"9,898",12.2,"9,390",9.7,"18,225",10.5,"16,697",11.7,"2,144",7.7,"2,739",19.2,"1,731",4.9,
Professional degree,"3,362",1.5,"1,957",1.8,"1,405",1.2,528,1.2,"1,333",1.6,"1,501",1.6,"2,647",1.5,"2,450",1.7,277,1.0,364,2.6,269,0.8,
Doctorate degree,"4,659",2.1,"2,624",2.4,"2,034",1.8,670,1.5,"1,930",2.4,"2,059",2.1,"3,527",2.0,"3,295",2.3,328,1.2,721,5.1,270,0.8,
,,,,,,,,,,,,,,,,,,,,,,,
A dash (-) represents zero or rounds to zero.,,,,,,,,,,,,,,,,,,,,,,,
1  Excluding members of the Armed Forces living in barracks.,,,,,,,,,,,,,,,,,,,,,,,
"2  Detail on graduate school attendance and length of master's degree program, available in previous years, discontinued due to questionnaire changes in 2015.",,,,,,,,,,,,,,,,,,,,,,,
Details may not sum to totals due to rounding.,,,,,,,,,,,,,,,,,,,,,,,
"Source:  U.S. Census Bureau, Current Population Survey, 2020 Annual Social and Economic Supplement",,,,,,,,,,,,,,,,,,,,,,,
"For more information on confidentiality protection, sampling error, nonsampling error, and definitions, see <https://www2.census.gov/programs-surveys/cps/techdocs/cpsmar20.pdf>",,,,,,,,,,,,,,,,,,,,,,,
